Year,Region,FuelType,Mileage,Price,Marca,Name
2002,Goris,Diesel,215000,12000,Ford,Transit
2017,Ijevan,Gasoline,72000,11500,Ford,Focus
1998,Armavir,Gasoline,466000,4000,Opel,Vectra
2020,Nor Nork,Gasoline,100000,22000,Mazda,6
1998,Armavir,Gasoline,318000,3500,Opel,Vectra
2018,Nor Nork,Gasoline,127000,17800,Mazda,6
2006,Avan,Gasoline,290000,2300,VAZ,(Lada) 2110
2001,Vedi,Gasoline,219779,7200,Mercedes-Benz,E-Class
2008,Malatia-Sebastia,Gasoline,212000,18000,BMW,X6
2006,Chambarak,Gasoline,222700,8400,BMW,5 Series
2006,Nor Nork,Gasoline,73000,7700,Mercedes-Benz,B-Class hatchback
2002,Malatia-Sebastia,Gasoline,197900,6300,Opel,Zafira
2005,Gavar,Gasoline,140000,4000,VAZ,(Lada) 2121 (4x4)
1996,Gyumri,Gasoline,468000,3000,Mercedes-Benz,E-Class
2018,Kentron,Gasoline,63000,16500,Hyundai,Sonata
2001,Kentron,Gasoline,22000,12369,BMW,Z3
2017,Ajapnyak,Gasoline,91000,14000,Volkswagen,Passat
2018,Shengavit,Gasoline,43000,14700,Fiat,124 Spider
2000,Ashtarak,Gasoline,267000,4800,Opel,Vectra
2002,Artashat,Gasoline,150000,2800,GAZ,(ГАЗ) Sobol
2008,Shengavit,Gasoline,250000,7700,Nissan,Teana
1999,Artashat,Gasoline,150000,3800,Opel,Astra
2018,Ajapnyak,Gasoline,86000,20500,Mazda,CX-5
2008,Kentron,Gasoline,109000,15300,Mercedes-Benz,GLK-Class
2020,Erebuni,Gasoline,48000,26200,Mazda,CX-5
2017,Davtashen,Gasoline,48000,14900,Ford,Fusion (North America)
2003,Shengavit,Gasoline,95000,5500,MINI,Cooper hatchback
2008,Kentron,Gasoline,165000,6000,Mercedes-Benz,S-Class
2006,Charentsavan,Gasoline,220000,7600,Honda,Accord
1986,Mayakovski,Gasoline,110000,3000,VAZ,(Lada) 2101
2001,On the way,Gasoline,147000,7000,Mercedes-Benz,C-Class
2018,Vanadzor,Gasoline,160000,13400,Chevrolet,Malibu
2017,Avan,Gasoline,83000,16900,Nissan,Rogue Sport
2020,Avan,Gasoline,98000,22500,Toyota,Camry
2006,Nork-Marash,Gasoline,180000,7800,Kia,Sorento
1990,Gyumri,Gasoline,390000,3900,BMW,5 Series
